id,enunciado,alternativa,texto_alt,label

pc2025_01_pn_31,"João, reincidente em crime doloso, compareceu, em agosto de 2025, por volta das 14h00min, à Rua Alfa, ocasião em que procedeu à subtração, sem violência ou grave ameaça à pessoa, de equipamentos utilizados para fornecimento de energia elétrica, evadindo-se na sequência. Registre-se que os bens subtraídos foram avaliados em R$ 1.000,00 (mil reais). Nesse cenário, considerando as disposições do Código Penal, é correto afirmar que João responderá pelo crime de furto",A,"simples, com a incidência de uma causa de diminuição de pena.",0,,,,,,
pc2025_01_pn_31,"João, reincidente em crime doloso, compareceu, em agosto de 2025, por volta das 14h00min, à Rua Alfa, ocasião em que procedeu à subtração, sem violência ou grave ameaça à pessoa, de equipamentos utilizados para fornecimento de energia elétrica, evadindo-se na sequência. Registre-se que os bens subtraídos foram avaliados em R$ 1.000,00 (mil reais). Nesse cenário, considerando as disposições do Código Penal, é correto afirmar que João responderá pelo crime de furto",B,"qualificado, com a incidência de uma causa de aumento de pena.",0,,,,,,
pc2025_01_pn_31,"João, reincidente em crime doloso, compareceu, em agosto de 2025, por volta das 14h00min, à Rua Alfa, ocasião em que procedeu à subtração, sem violência ou grave ameaça à pessoa, de equipamentos utilizados para fornecimento de energia elétrica, evadindo-se na sequência. Registre-se que os bens subtraídos foram avaliados em R$ 1.000,00 (mil reais). Nesse cenário, considerando as disposições do Código Penal, é correto afirmar que João responderá pelo crime de furto",C,"simples, com a incidência de uma causa de aumento de pena.",0,,,,,,
pc2025_01_pn_31,"João, reincidente em crime doloso, compareceu, em agosto de 2025, por volta das 14h00min, à Rua Alfa, ocasião em que procedeu à subtração, sem violência ou grave ameaça à pessoa, de equipamentos utilizados para fornecimento de energia elétrica, evadindo-se na sequência. Registre-se que os bens subtraídos foram avaliados em R$ 1.000,00 (mil reais). Nesse cenário, considerando as disposições do Código Penal, é correto afirmar que João responderá pelo crime de furto",D,"qualificado, sem causas de aumento de pena.",1,,,,,,
pc2025_01_pn_31,"João, reincidente em crime doloso, compareceu, em agosto de 2025, por volta das 14h00min, à Rua Alfa, ocasião em que procedeu à subtração, sem violência ou grave ameaça à pessoa, de equipamentos utilizados para fornecimento de energia elétrica, evadindo-se na sequência. Registre-se que os bens subtraídos foram avaliados em R$ 1.000,00 (mil reais). Nesse cenário, considerando as disposições do Código Penal, é correto afirmar que João responderá pelo crime de furto",E,"simples, sem causas de aumento de pena.",0,,,,,,
pc2025_01_pn_32,"Caio, servidor público no Estado Alfa, revelou ao seu irmão, por meio de conduta negligente, fato de que tinha ciência em razão do cargo e que deveria permanecer em segredo. Registre-se que, em razão da conduta perpetrada por Caio, a Administração Pública não sofreu qualquer prejuízo. Nesse cenário, considerando as disposições do Código Penal, é correto afirmar que Caio",A,"não responderá criminalmente, já que o Poder Público não suportou qualquer prejuízo, afastando-se a tipicidade material da conduta.",0,,,,,,
pc2025_01_pn_32,"Caio, servidor público no Estado Alfa, revelou ao seu irmão, por meio de conduta negligente, fato de que tinha ciência em razão do cargo e que deveria permanecer em segredo. Registre-se que, em razão da conduta perpetrada por Caio, a Administração Pública não sofreu qualquer prejuízo. Nesse cenário, considerando as disposições do Código Penal, é correto afirmar que Caio",B,"responderá pelo crime de violação de sigilo funcional, na modalidade simples, com a incidência de uma causa de aumento de pena.",0,,,,,,
pc2025_01_pn_32,"Caio, servidor público no Estado Alfa, revelou ao seu irmão, por meio de conduta negligente, fato de que tinha ciência em razão do cargo e que deveria permanecer em segredo. Registre-se que, em razão da conduta perpetrada por Caio, a Administração Pública não sofreu qualquer prejuízo. Nesse cenário, considerando as disposições do Código Penal, é correto afirmar que Caio",C,"não responderá criminalmente, na medida em que o crime de violação de sigilo funcional não admite a modalidade culposa.",1,,,,,,
pc2025_01_pn_32,"Caio, servidor público no Estado Alfa, revelou ao seu irmão, por meio de conduta negligente, fato de que tinha ciência em razão do cargo e que deveria permanecer em segredo. Registre-se que, em razão da conduta perpetrada por Caio, a Administração Pública não sofreu qualquer prejuízo. Nesse cenário, considerando as disposições do Código Penal, é correto afirmar que Caio",D,"responderá pelo crime de violação de sigilo funcional, na modalidade qualificada, sem causas de aumento de pena.",0,,,,,,
pc2025_01_pn_32,"Caio, servidor público no Estado Alfa, revelou ao seu irmão, por meio de conduta negligente, fato de que tinha ciência em razão do cargo e que deveria permanecer em segredo. Registre-se que, em razão da conduta perpetrada por Caio, a Administração Pública não sofreu qualquer prejuízo. Nesse cenário, considerando as disposições do Código Penal, é correto afirmar que Caio",E,"responderá pelo crime de violação de sigilo funcional, na modalidade simples, sem causas de aumento de pena.",0,,,,,,
pc2025_01_pn_33,"Lucas, investigador de polícia, atua, concomitantemente, em três complexas investigações, envolvendo os seguintes delitos: I. lesão corporal de natureza grave, praticada, em novembro de 2025, nas dependências de instituição de ensino; II. roubo circunstanciado pelo emprego de arma branca; III. extorsão qualificada pela restrição da liberdade da vítima. Nesse cenário, considerando as disposições da Lei no 8.072/1990, é correto afirmar que Lucas participa de",A,"três investigações vinculadas a crimes hediondos, envolvendo a lesão corporal de natureza grave, praticada, em novembro de 2025, nas dependências de instituição de ensino, a extorsão qualificada pela restrição da liberdade da vítima e o roubo circunstanciado pelo emprego de arma branca.",0,,,,,,
pc2025_01_pn_33,"Lucas, investigador de polícia, atua, concomitantemente, em três complexas investigações, envolvendo os seguintes delitos: I. lesão corporal de natureza grave, praticada, em novembro de 2025, nas dependências de instituição de ensino; II. roubo circunstanciado pelo emprego de arma branca; III. extorsão qualificada pela restrição da liberdade da vítima. Nesse cenário, considerando as disposições da Lei no 8.072/1990, é correto afirmar que Lucas participa de",B,"duas investigações vinculadas a crimes hediondos, envolvendo a extorsão qualificada pela restrição da liberdade da vítima e o roubo circunstanciado pelo emprego de arma branca.",0,,,,,,
pc2025_01_pn_33,"Lucas, investigador de polícia, atua, concomitantemente, em três complexas investigações, envolvendo os seguintes delitos: I. lesão corporal de natureza grave, praticada, em novembro de 2025, nas dependências de instituição de ensino; II. roubo circunstanciado pelo emprego de arma branca; III. extorsão qualificada pela restrição da liberdade da vítima. Nesse cenário, considerando as disposições da Lei no 8.072/1990, é correto afirmar que Lucas participa de",C,"duas investigações vinculadas a crimes hediondos, envolvendo a lesão corporal de natureza grave, praticada em novembro de 2025, nas dependências de instituição de ensino e a extorsão qualificada pela restrição da liberdade da vítima.",0,,,,,,
pc2025_01_pn_33,"Lucas, investigador de polícia, atua, concomitantemente, em três complexas investigações, envolvendo os seguintes delitos: I. lesão corporal de natureza grave, praticada, em novembro de 2025, nas dependências de instituição de ensino; II. roubo circunstanciado pelo emprego de arma branca; III. extorsão qualificada pela restrição da liberdade da vítima. Nesse cenário, considerando as disposições da Lei no 8.072/1990, é correto afirmar que Lucas participa de",D,"uma investigação vinculada a crime hediondo, envolvendo a lesão corporal de natureza grave, praticada, em novembro de 2025, nas dependências de instituição de ensino.",0,,,,,,
pc2025_01_pn_33,"Lucas, investigador de polícia, atua, concomitantemente, em três complexas investigações, envolvendo os seguintes delitos: I. lesão corporal de natureza grave, praticada, em novembro de 2025, nas dependências de instituição de ensino; II. roubo circunstanciado pelo emprego de arma branca; III. extorsão qualificada pela restrição da liberdade da vítima. Nesse cenário, considerando as disposições da Lei no 8.072/1990, é correto afirmar que Lucas participa de",E,"uma investigação vinculada a crime hediondo, envolvendo a extorsão qualificada pela restrição da liberdade da vítima.",1,,,,,,
pc2025_01_pn_34,"Caio, multirreincidente em crime doloso, foi condenado, definitivamente, pela prática de determinada infração penal, ao cumprimento de seis anos de detenção, além do pagamento de multa. Registre-se que, na primeira fase da dosimetria da pena, o juízo considerou a presença de três circunstâncias judiciais desfavoráveis. Nesse cenário, considerando as disposições do Código Penal, é correto afirmar que Caio iniciará o cumprimento da pena em regime",A,"fechado, ficando sujeito a trabalho em comum durante o período diurno, em colônia agrícola, industrial ou estabelecimento similar.",0,,,,,,
